train_loss,train_acc,val_loss,val_acc
1.2829272539367502,0.5101809954751131,1.4605679502587834,0.43535620052770446
1.1550760560445656,0.5650452488687783,1.1637131038630544,0.554089709762533
1.0877662390065947,0.584841628959276,1.2196771903528703,0.5461741424802111
1.085796195457424,0.5916289592760181,1.5095425925971964,0.49868073878627966
1.0494422783139605,0.5882352941176471,1.6395620488239782,0.49868073878627966
1.011896796895368,0.6114253393665159,1.1699503550114292,0.5725593667546174
0.9645132514146658,0.6391402714932126,1.1242201183590852,0.58311345646438
0.9533787760799287,0.6408371040723982,0.8933792954069958,0.6754617414248021
0.9171151753464436,0.667420814479638,1.0096725322954887,0.6437994722955145
0.8929510076121507,0.6679864253393665,1.0687179694389606,0.6121372031662269
0.8707356448896331,0.6860859728506787,0.814647704126967,0.7018469656992085
0.8138049139696009,0.7115384615384616,0.7782712594500317,0.7176781002638523
0.7955882851354676,0.7228506787330317,0.7620639420436366,0.7229551451187335
0.7656627567105703,0.7285067873303167,0.7608239694761412,0.7335092348284961
0.7616337262667142,0.7228506787330317,0.772504276839284,0.7150395778364116
