train_loss,train_acc,val_loss,val_acc
1.456838811684518,0.417420814479638,1.3489056960888464,0.44327176781002636
1.3336617040418393,0.45475113122171945,1.3283823797759406,0.48284960422163586
1.3009531255221474,0.48981900452488686,1.1537703140429896,0.5699208443271768
1.2785324602644907,0.48925339366515835,1.2240518407016443,0.5013192612137203
1.2458939865164087,0.5209276018099548,1.3777174458969237,0.47493403693931396
1.2189000170694757,0.5254524886877828,1.1025628848566544,0.5620052770448549
1.2010506774505338,0.5452488687782805,1.0215599253813006,0.6068601583113457
1.1707339534932133,0.541289592760181,1.1302888324204095,0.5488126649076517
1.1388720608404859,0.5520361990950227,1.0391690668141307,0.6015831134564644
1.1545666132577403,0.5588235294117647,1.0088862768892877,0.604221635883905
1.0848672934786767,0.5904977375565611,0.9263612310301346,0.6464379947229552
1.034569180119631,0.6125565610859729,0.9177767650118603,0.6517150395778364
1.0306847467681401,0.6035067873303167,0.9354058859530728,0.6385224274406333
1.0179108224842883,0.626131221719457,0.8856964631885841,0.6781002638522428
1.0074600051431095,0.619343891402715,0.9020053709717099,0.6569920844327177
